userId,movieId,title
1,1,Toy Story (1995)
1,305,Ready to Wear (Pret-A-Porter) (1994)
1,354,Cobb (1994)
1,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
1,42,Dead Presidents (1995)
2,2,Jumanji (1995)
2,421,Black Beauty (1994)
2,478,Jimmy Hollywood (1994)
2,433,Clean Slate (1994)
2,653,Dragonheart (1996)
3,3,Grumpier Old Men (1995)
3,354,Cobb (1994)
3,626,"Thin Line Between Love and Hate, A (1996)"
3,615,Bread and Chocolate (Pane e cioccolata) (1973)
3,353,"Crow, The (1994)"
4,4,Waiting to Exhale (1995)
4,449,Fear of a Black Hat (1994)
4,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
4,184,Nadja (1994)
4,315,"Specialist, The (1994)"
5,5,Father of the Bride Part II (1995)
5,536,"Simple Twist of Fate, A (1994)"
5,265,Like Water for Chocolate (Como agua para chocolate) (1992)
5,685,It's My Party (1996)
5,272,"Madness of King George, The (1994)"
6,6,Heat (1995)
6,141,"Birdcage, The (1996)"
6,212,Bushwhacked (1995)
6,64,Two if by Sea (1996)
6,277,Miracle on 34th Street (1994)
7,7,Sabrina (1995)
7,276,Milk Money (1994)
7,457,"Fugitive, The (1993)"
7,255,"Jerky Boys, The (1995)"
7,408,8 Seconds (1994)
8,8,Tom and Huck (1995)
8,434,Cliffhanger (1993)
8,105,"Bridges of Madison County, The (1995)"
8,594,Snow White and the Seven Dwarfs (1937)
8,389,"Colonel Chabert, Le (1994)"
9,9,Sudden Death (1995)
9,589,Terminator 2: Judgment Day (1991)
9,194,Smoke (1995)
9,457,"Fugitive, The (1993)"
9,85,Angels and Insects (1995)
10,10,GoldenEye (1995)
10,187,Party Girl (1995)
10,170,Hackers (1995)
10,679,"Run of the Country, The (1995)"
10,208,Waterworld (1995)
11,11,"American President, The (1995)"
11,553,Tombstone (1993)
11,207,"Walk in the Clouds, A (1995)"
11,382,Wolf (1994)
11,152,"Addiction, The (1995)"
12,12,Dracula: Dead and Loving It (1995)
12,715,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)"
12,467,Live Nude Girls (1995)
12,320,Suture (1993)
12,112,Rumble in the Bronx (Hont faan kui) (1995)
13,13,Balto (1995)
13,340,"War, The (1994)"
13,728,Cold Comfort Farm (1995)
13,108,Catwalk (1996)
13,85,Angels and Insects (1995)
14,14,Nixon (1995)
14,472,I'll Do Anything (1994)
14,105,"Bridges of Madison County, The (1995)"
14,594,Snow White and the Seven Dwarfs (1937)
14,428,"Bronx Tale, A (1993)"
15,15,Cutthroat Island (1995)
15,284,New York Cop (Nyû Yôku no koppu) (1993)
15,319,Shallow Grave (1994)
15,496,What Happened Was... (1994)
15,168,First Knight (1995)
16,16,Casino (1995)
16,17,Sense and Sensibility (1995)
16,157,Canadian Bacon (1995)
16,509,"Piano, The (1993)"
16,390,Faster Pussycat! Kill! Kill! (1965)
17,17,Sense and Sensibility (1995)
17,16,Casino (1995)
17,458,Geronimo: An American Legend (1993)
17,496,What Happened Was... (1994)
17,284,New York Cop (Nyû Yôku no koppu) (1993)
18,18,Four Rooms (1995)
18,284,New York Cop (Nyû Yôku no koppu) (1993)
18,276,Milk Money (1994)
18,346,Backbeat (1993)
18,69,Friday (1995)
19,19,Ace Ventura: When Nature Calls (1995)
19,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
19,252,I.Q. (1994)
19,665,Underground (1995)
19,535,Short Cuts (1993)
20,20,Money Train (1995)
20,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
20,612,"Pallbearer, The (1996)"
20,436,Color of Night (1994)
20,600,Love and a .45 (1994)
21,21,Get Shorty (1995)
21,333,Tommy Boy (1995)
21,541,Blade Runner (1982)
21,287,Nina Takes a Lover (1994)
21,628,Primal Fear (1996)
22,22,Copycat (1995)
22,496,What Happened Was... (1994)
22,372,Reality Bites (1994)
22,497,Much Ado About Nothing (1993)
22,222,Circle of Friends (1995)
23,23,Assassins (1995)
23,16,Casino (1995)
23,449,Fear of a Black Hat (1994)
23,218,Boys on the Side (1995)
23,444,Even Cowgirls Get the Blues (1993)
24,24,Powder (1995)
24,284,New York Cop (Nyû Yôku no koppu) (1993)
24,57,Home for the Holidays (1995)
24,674,Barbarella (1968)
24,276,Milk Money (1994)
25,25,Leaving Las Vegas (1995)
25,220,Castle Freak (1995)
25,242,Farinelli: il castrato (1994)
25,468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)"
25,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
26,26,Othello (1995)
26,152,"Addiction, The (1995)"
26,279,My Family (1995)
26,552,"Three Musketeers, The (1993)"
26,62,Mr. Holland's Opus (1995)
27,27,Now and Then (1995)
27,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
27,707,Mulholland Falls (1996)
27,217,"Babysitter, The (1995)"
27,234,Exit to Eden (1994)
28,28,Persuasion (1995)
28,276,Milk Money (1994)
28,710,Celtic Pride (1996)
28,496,What Happened Was... (1994)
28,254,Jefferson in Paris (1995)
29,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
29,358,Higher Learning (1995)
29,319,Shallow Grave (1994)
29,70,From Dusk Till Dawn (1996)
29,369,Mrs. Parker and the Vicious Circle (1994)
30,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
30,468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)"
30,85,Angels and Insects (1995)
30,650,Moll Flanders (1996)
30,25,Leaving Las Vegas (1995)
31,31,Dangerous Minds (1995)
31,78,"Crossing Guard, The (1995)"
31,611,Hellraiser: Bloodline (1996)
31,310,Rent-a-Kid (1995)
31,239,"Goofy Movie, A (1995)"
32,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
32,310,Rent-a-Kid (1995)
32,355,"Flintstones, The (1994)"
32,177,Lord of Illusions (1995)
32,141,"Birdcage, The (1996)"
33,34,Babe (1995)
33,302,"Queen Margot (Reine Margot, La) (1994)"
33,5,Father of the Bride Part II (1995)
33,688,Operation Dumbo Drop (1995)
33,64,Two if by Sea (1996)
34,36,Dead Man Walking (1995)
34,501,Naked (1993)
34,408,8 Seconds (1994)
34,155,Beyond Rangoon (1995)
34,195,Something to Talk About (1995)
35,38,It Takes Two (1995)
35,491,"Man Without a Face, The (1993)"
35,8,Tom and Huck (1995)
35,522,Romper Stomper (1992)
35,41,Richard III (1995)
36,39,Clueless (1995)
36,535,Short Cuts (1993)
36,493,Menace II Society (1993)
36,198,Strange Days (1995)
36,228,Destiny Turns on the Radio (1995)
37,40,"Cry, the Beloved Country (1995)"
37,552,"Three Musketeers, The (1993)"
37,382,Wolf (1994)
37,156,Blue in the Face (1995)
37,694,"Substitute, The (1996)"
38,41,Richard III (1995)
38,272,"Madness of King George, The (1994)"
38,510,Poetic Justice (1993)
38,688,Operation Dumbo Drop (1995)
38,519,RoboCop 3 (1993)
39,42,Dead Presidents (1995)
39,267,Major Payne (1995)
39,535,Short Cuts (1993)
39,1,Toy Story (1995)
39,568,Bhaji on the Beach (1993)
40,43,Restoration (1995)
40,472,I'll Do Anything (1994)
40,41,Richard III (1995)
40,141,"Birdcage, The (1996)"
40,162,Crumb (1994)
41,44,Mortal Kombat (1995)
41,358,Higher Learning (1995)
41,270,Love Affair (1994)
41,342,Muriel's Wedding (1994)
41,496,What Happened Was... (1994)
42,45,To Die For (1995)
42,48,Pocahontas (1995)
42,423,Blown Away (1994)
42,762,Striptease (1996)
42,517,Rising Sun (1993)
43,46,How to Make an American Quilt (1995)
43,277,Miracle on 34th Street (1994)
43,718,"Visitors, The (Visiteurs, Les) (1993)"
43,536,"Simple Twist of Fate, A (1994)"
43,141,"Birdcage, The (1996)"
44,47,Seven (a.k.a. Se7en) (1995)
44,393,Street Fighter (1994)
44,564,Chasers (1994)
44,379,Timecop (1994)
44,446,Farewell My Concubine (Ba wang bie ji) (1993)
45,48,Pocahontas (1995)
45,371,"Paper, The (1994)"
45,762,Striptease (1996)
45,695,True Crime (1996)
45,517,Rising Sun (1993)
46,49,When Night Is Falling (1995)
46,534,Shadowlands (1993)
46,279,My Family (1995)
46,152,"Addiction, The (1995)"
46,172,Johnny Mnemonic (1995)
47,50,"Usual Suspects, The (1995)"
47,187,Party Girl (1995)
47,526,"Savage Nights (Nuits fauves, Les) (1992)"
47,569,Little Big League (1994)
47,208,Waterworld (1995)
48,52,Mighty Aphrodite (1995)
48,344,Ace Ventura: Pet Detective (1994)
48,695,True Crime (1996)
48,276,Milk Money (1994)
48,606,Candyman: Farewell to the Flesh (1995)
49,53,Lamerica (1994)
49,502,"Next Karate Kid, The (1994)"
49,360,I Love Trouble (1994)
49,337,What's Eating Gilbert Grape (1993)
49,711,Flipper (1996)
50,54,"Big Green, The (1995)"
50,369,Mrs. Parker and the Vicious Circle (1994)
50,284,New York Cop (Nyû Yôku no koppu) (1993)
50,496,What Happened Was... (1994)
50,270,Love Affair (1994)
51,55,Georgia (1995)
51,329,Star Trek: Generations (1994)
51,762,Striptease (1996)
51,71,Fair Game (1995)
51,726,Last Dance (1996)
52,57,Home for the Holidays (1995)
52,284,New York Cop (Nyû Yôku no koppu) (1993)
52,246,Hoop Dreams (1994)
52,319,Shallow Grave (1994)
52,372,Reality Bites (1994)
53,58,"Postman, The (Postino, Il) (1994)"
53,318,"Shawshank Redemption, The (1994)"
53,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
53,424,Blue Chips (1994)
53,251,"Hunted, The (1995)"
54,60,"Indian in the Cupboard, The (1995)"
54,152,"Addiction, The (1995)"
54,89,Nick of Time (1995)
54,105,"Bridges of Madison County, The (1995)"
54,594,Snow White and the Seven Dwarfs (1937)
55,61,Eye for an Eye (1996)
55,662,Fear (1996)
55,719,Multiplicity (1996)
55,254,Jefferson in Paris (1995)
55,246,Hoop Dreams (1994)
56,62,Mr. Holland's Opus (1995)
56,105,"Bridges of Madison County, The (1995)"
56,152,"Addiction, The (1995)"
56,210,Wild Bill (1995)
56,434,Cliffhanger (1993)
57,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
57,535,Short Cuts (1993)
57,726,Last Dance (1996)
57,235,Ed Wood (1994)
57,741,Ghost in the Shell (Kôkaku kidôtai) (1995)
58,64,Two if by Sea (1996)
58,141,"Birdcage, The (1996)"
58,510,Poetic Justice (1993)
58,688,Operation Dumbo Drop (1995)
58,41,Richard III (1995)
59,65,Bio-Dome (1996)
59,163,Desperado (1995)
59,531,"Secret Garden, The (1993)"
59,698,Delta of Venus (1995)
59,535,Short Cuts (1993)
60,66,Lawnmower Man 2: Beyond Cyberspace (1996)
60,380,True Lies (1994)
60,179,Mad Love (1995)
60,538,Six Degrees of Separation (1993)
60,390,Faster Pussycat! Kill! Kill! (1965)
61,68,French Twist (Gazon maudit) (1995)
61,157,Canadian Bacon (1995)
61,595,Beauty and the Beast (1991)
61,292,Outbreak (1995)
61,371,"Paper, The (1994)"
62,69,Friday (1995)
62,284,New York Cop (Nyû Yôku no koppu) (1993)
62,287,Nina Takes a Lover (1994)
62,18,Four Rooms (1995)
62,541,Blade Runner (1982)
63,70,From Dusk Till Dawn (1996)
63,496,What Happened Was... (1994)
63,700,Angus (1995)
63,284,New York Cop (Nyû Yôku no koppu) (1993)
63,369,Mrs. Parker and the Vicious Circle (1994)
64,71,Fair Game (1995)
64,547,Surviving the Game (1994)
64,762,Striptease (1996)
64,261,Little Women (1994)
64,371,"Paper, The (1994)"
65,72,Kicking and Screaming (1995)
65,433,Clean Slate (1994)
65,421,Black Beauty (1994)
65,597,Pretty Woman (1990)
65,711,Flipper (1996)
66,73,"Misérables, Les (1995)"
66,371,"Paper, The (1994)"
66,547,Surviving the Game (1994)
66,102,Mr. Wrong (1996)
66,71,Fair Game (1995)
67,74,Bed of Roses (1996)
67,650,Moll Flanders (1996)
67,242,Farinelli: il castrato (1994)
67,457,"Fugitive, The (1993)"
67,468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)"
68,75,Big Bully (1996)
68,475,In the Name of the Father (1993)
68,762,Striptease (1996)
68,547,Surviving the Game (1994)
68,208,Waterworld (1995)
69,76,Screamers (1995)
69,377,Speed (1994)
69,458,Geronimo: An American Legend (1993)
69,230,Dolores Claiborne (1995)
69,79,"Juror, The (1996)"
70,77,Nico Icon (1995)
70,726,Last Dance (1996)
70,341,Double Happiness (1994)
70,707,Mulholland Falls (1996)
70,725,"Great White Hype, The (1996)"
71,78,"Crossing Guard, The (1995)"
71,419,"Beverly Hillbillies, The (1993)"
71,446,Farewell My Concubine (Ba wang bie ji) (1993)
71,393,Street Fighter (1994)
71,617,"Flower of My Secret, The (La flor de mi secreto) (1995)"
72,79,"Juror, The (1996)"
72,159,Clockers (1995)
72,685,It's My Party (1996)
72,594,Snow White and the Seven Dwarfs (1937)
72,17,Sense and Sensibility (1995)
73,80,"White Balloon, The (Badkonake sefid) (1995)"
73,287,Nina Takes a Lover (1994)
73,612,"Pallbearer, The (1996)"
73,69,Friday (1995)
73,247,Heavenly Creatures (1994)
74,81,Things to Do in Denver When You're Dead (1995)
74,388,Boys Life (1995)
74,444,Even Cowgirls Get the Blues (1993)
74,540,Sliver (1993)
74,198,Strange Days (1995)
75,82,Antonia's Line (Antonia) (1995)
75,267,Major Payne (1995)
75,568,Bhaji on the Beach (1993)
75,502,"Next Karate Kid, The (1994)"
75,468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)"
76,83,Once Upon a Time... When We Were Colored (1995)
76,478,Jimmy Hollywood (1994)
76,157,Canadian Bacon (1995)
76,496,What Happened Was... (1994)
76,17,Sense and Sensibility (1995)
77,85,Angels and Insects (1995)
77,457,"Fugitive, The (1993)"
77,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
77,468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)"
77,220,Castle Freak (1995)
78,86,White Squall (1996)
78,267,Major Payne (1995)
78,79,"Juror, The (1996)"
78,255,"Jerky Boys, The (1995)"
78,89,Nick of Time (1995)
79,87,Dunston Checks In (1996)
79,568,Bhaji on the Beach (1993)
79,567,Kika (1993)
79,214,Before the Rain (Pred dozhdot) (1994)
79,305,Ready to Wear (Pret-A-Porter) (1994)
80,88,Black Sheep (1996)
80,700,Angus (1995)
80,451,Flesh and Bone (1993)
80,276,Milk Money (1994)
80,494,Executive Decision (1996)
81,89,Nick of Time (1995)
81,105,"Bridges of Madison County, The (1995)"
81,152,"Addiction, The (1995)"
81,382,Wolf (1994)
81,553,Tombstone (1993)
82,92,Mary Reilly (1996)
82,501,Naked (1993)
82,762,Striptease (1996)
82,700,Angus (1995)
82,487,Lightning Jack (1994)
83,93,Vampire in Brooklyn (1995)
83,496,What Happened Was... (1994)
83,284,New York Cop (Nyû Yôku no koppu) (1993)
83,711,Flipper (1996)
83,478,Jimmy Hollywood (1994)
84,94,Beautiful Girls (1996)
84,500,Mrs. Doubtfire (1993)
84,427,Boxing Helena (1993)
84,441,Dazed and Confused (1993)
84,272,"Madness of King George, The (1994)"
85,95,Broken Arrow (1996)
85,533,"Shadow, The (1994)"
85,34,Babe (1995)
85,318,"Shawshank Redemption, The (1994)"
85,415,Another Stakeout (1993)
86,96,In the Bleak Midwinter (1995)
86,457,"Fugitive, The (1993)"
86,85,Angels and Insects (1995)
86,468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)"
86,258,"Kid in King Arthur's Court, A (1995)"
87,97,"Hate (Haine, La) (1995)"
87,456,Fresh (1994)
87,745,Wallace & Gromit: A Close Shave (1995)
87,509,"Piano, The (1993)"
87,328,Tales from the Crypt Presents: Demon Knight (1995)
88,99,Heidi Fleiss: Hollywood Madam (1995)
88,284,New York Cop (Nyû Yôku no koppu) (1993)
88,433,Clean Slate (1994)
88,220,Castle Freak (1995)
88,496,What Happened Was... (1994)
89,100,City Hall (1996)
89,680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)"
89,128,Jupiter's Wife (1994)
89,287,Nina Takes a Lover (1994)
89,208,Waterworld (1995)
90,101,Bottle Rocket (1996)
90,310,Rent-a-Kid (1995)
90,239,"Goofy Movie, A (1995)"
90,177,Lord of Illusions (1995)
90,608,Fargo (1996)
91,102,Mr. Wrong (1996)
91,371,"Paper, The (1994)"
91,695,True Crime (1996)
91,762,Striptease (1996)
91,726,Last Dance (1996)
92,103,Unforgettable (1996)
92,186,Nine Months (1995)
92,173,Judge Dredd (1995)
92,321,Strawberry and Chocolate (Fresa y chocolate) (1993)
92,551,"Nightmare Before Christmas, The (1993)"
93,104,Happy Gilmore (1996)
93,345,"Adventures of Priscilla, Queen of the Desert, The (1994)"
93,536,"Simple Twist of Fate, A (1994)"
